"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Perandus.Manor","Doryani.s.Machinarium","The.Beachhead_T5","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
36,"2019-10-11","Blight HC","UniqueMap",2.89,2,2,1,4,1.88699,8.41,2,1.16,1,4,15,34.88,11.98,24,5.10602,1,18,44,90,45,15.22,NA,NA,NA,NA,NA,NA
37,"2019-10-12","Blight HC","UniqueMap",3,2,2,1,4,2,8.43,2,1.05,1,4,15,35,11.355,24,5.34,1,18,45,90.67,45,15.13,NA,NA,NA,NA,NA,NA
38,"2019-10-13","Blight HC","UniqueMap",3,2,2,1,4,2,8.2,1.85,1.04,1,3,15,40,11.24878,24.43,5,1,18,40.58821,100,45,14.18,NA,NA,NA,NA,NA,NA
39,"2019-10-14","Blight HC","UniqueMap",3,1.94,2,1,4,1.92,8,1.83,1,1,3,15.89,40,12,24,5,1,18.16,44.68,89.88,45.23,15,NA,NA,NA,NA,NA,NA
40,"2019-10-15","Blight HC","UniqueMap",3,1.8,2,1,4,1.6146,8.34091,1.52,1,1,3.89,15,40,13,24.32,6,1,20,44,89.77,46.43,15,NA,NA,NA,NA,NA,NA
41,"2019-10-16","Blight HC","UniqueMap",3,1.61,2,1,4,1.63,8.91,1.52,1,1,3.84,15,35.18,12.48,24.32,6,1,20,41.33,85.99,46.43,15.75,NA,NA,NA,NA,NA,NA
42,"2019-10-17","Blight HC","UniqueMap",2.64,1.77,2,1,4,1.64,9,1.52,1,1,3.75,15,35.28,11.85,24.32,5.37,1,20,40,89.41875,46.41,16.34,NA,NA,NA,NA,NA,NA
43,"2019-10-18","Blight HC","UniqueMap",2.60776,1.52,1.72,1,4,1.52,8.3,1.52,1,1,3,15,35,11.44,25.8,5,1,20,40,90.49,45.47,15.19,NA,NA,NA,NA,NA,NA
44,"2019-10-19","Blight HC","UniqueMap",2.28,1.52,2,1,4,1,8,1.52,1,1.07,3,15,35,12,25.8,5,1,20,40,91.53,46.09,15,NA,NA,NA,NA,NA,NA
45,"2019-10-20","Blight HC","UniqueMap",2.26,1.52,2,1,4,1,7.41,1.51,1,1,3.49,15,35,12,25.8,5,1,20,40,91.90833,46.09,15,NA,NA,NA,NA,NA,NA
46,"2019-10-21","Blight HC","UniqueMap",2.32,1.54,2,1,4,1,7.76,1.48,1,1.14,3.74464,15,37.69,12,25.59,5,1,20,40,108.44,45.33,13,NA,NA,NA,NA,NA,NA
47,"2019-10-22","Blight HC","UniqueMap",2,1.95,2,1,3.42,1,7.97,1.52,1,1.07,3,13.73,38.2,10,24.4,5,1,20,40,76.32,49.38,14.39,NA,NA,NA,NA,NA,NA
48,"2019-10-23","Blight HC","UniqueMap",2,1.95,2,1,3.34,1,8,1.56,1,1.17,3.35,13,37,10,27.4,5,1,20,39.66,74.2,45.38,14.5,NA,NA,NA,NA,NA,NA
49,"2019-10-24","Blight HC","UniqueMap",2,1.88,2,1,3,1,8,1.33,1,1.19,3.96,13,36.98,10,29.21,5,1,20,39.78,135.795,40.67,16.36077,NA,NA,NA,NA,NA,NA
50,"2019-10-25","Blight HC","UniqueMap",2,1.87,2,1,3,1,8,1.04,1,1.17,3.89,13,37.9,10,28.2,5,1,20,39.91,138.09,40.33,15.22,NA,NA,NA,NA,NA,NA
51,"2019-10-26","Blight HC","UniqueMap",2,1.98,2,1,2.95,1,8,1.67,1,1.17,3.88,13,36,10,24.3,5,1,20,42.84,108.472,45.32231,15.04,NA,NA,NA,NA,NA,NA
52,"2019-10-27","Blight HC","UniqueMap",2,1.76,2,1,2.83,1,8,1.67328,1,1.10451,3,13.35,35,10,24.3,5,1,22.93,44,134.11938,44.51,15.96864,NA,NA,NA,NA,NA,NA
53,"2019-10-28","Blight HC","UniqueMap",2,1.77,2,1,2.92,1,7.12,1.92,1,1.15,3,13.71,35,10,24.4,4.73,1,22.93,44,130.25,44.04,15,NA,NA,NA,NA,NA,NA
54,"2019-10-29","Blight HC","UniqueMap",2,1.74,2,1,3,1,7,1.79,1,1.15,3,13.45,35,10,25,4.78,1,20,44,116.71,43.09,14.05,NA,NA,NA,NA,NA,NA
55,"2019-10-30","Blight HC","UniqueMap",1.97,1.89,2,1,3,1,7,1.84,1.03,1.11,3,10.81,35,10,26.09,4.22,1,22.04,44,119.82,42.6,14.47,NA,NA,NA,NA,NA,NA
56,"2019-10-31","Blight HC","UniqueMap",1.96,1.94,2,1,3,1,7,1.84,1,1.39,3,12,35,10.02,26.09,4.29,1,21.77,43.59,111.82,42.6,14.97,NA,NA,NA,NA,NA,NA
57,"2019-11-01","Blight HC","UniqueMap",2,1.94,2,1,3,1,7,1.84,1,1.31,3,12,35,10,26.09,4.31438,1,21.42,43.59,111.29,42.6,15.2,NA,NA,NA,NA,NA,NA
58,"2019-11-02","Blight HC","UniqueMap",1.88,1.72,2,1,3,1,7,1.92,1.02,1.71,3,13.22,31.21,10,26.09,4.64,1,20.73,46.8,96.37,43.17,15.24,NA,NA,NA,NA,NA,NA
59,"2019-11-03","Blight HC","UniqueMap",1.88,1.89,2,1,2.9,1,7,1.77,1.13,1.58,3,13.17,30.83,10,26.09,4.74,1,20,44.41,94.89,40,12.15,NA,NA,NA,NA,NA,NA
60,"2019-11-04","Blight HC","UniqueMap",1.51,1.99,2,1,3,1,7,1.33,1.13,1.74,3,12.94,34.73,10,25.54,5,1.5,20,49.06,90.59,40,14.6,NA,NA,NA,NA,NA,NA
61,"2019-11-05","Blight HC","UniqueMap",1.25,1.98,2,1,3,1,7,1.33,1,1.12,3,13,35,10,25.54,5,1.56,20,46.18,92.11,40,16.72,NA,NA,NA,NA,NA,NA
62,"2019-11-06","Blight HC","UniqueMap",1.09,1.96,2,1,2.99,1,7,1.06,1,1.1,3,13,35,10,25.54,5,1.34,20,49.86,92.16429,40,15.29,NA,NA,NA,NA,NA,NA
63,"2019-11-07","Blight HC","UniqueMap",1.09,1.91,2,1,3.00714,1,7,1.05,1,1.15,3,13.11,35,10,25.54,5,1.78,20,57.13,92.31308,44.17,15.29,NA,NA,NA,NA,NA,NA
64,"2019-11-08","Blight HC","UniqueMap",1,2,2,1,2.86,1,7,1.05,1,1.13,3,12,35,10,25,5,1.85,20,53.04,89.95,44.7,17.08,NA,NA,NA,NA,NA,NA
65,"2019-11-09","Blight HC","UniqueMap",1,2,1.81,1,3,1,7.61,1.06,1,1.64,3,10,35,10,25,5,0.94,16.77344,56.09,89.96,44.7,17.08,NA,NA,NA,NA,NA,NA
66,"2019-11-10","Blight HC","UniqueMap",1,2,2,1,3,1,7,1.02,1,1.57,3,10,35,10.03,26.09,5,0.91,19.07,50,90.35,43.02,17.38,NA,NA,NA,NA,NA,NA
67,"2019-11-11","Blight HC","UniqueMap",1,2,2,1,3,1,7,1,1,1.96,3,10.76,35,10.15,26.09,5,0.87,20,52.58,89.28,43.02,17.38,NA,NA,NA,NA,NA,NA
68,"2019-11-12","Blight HC","UniqueMap",2,2,2,1,3,1,8,1.18,0.99,1.96,3,10.45,35,10.15,26.09,5,1.59,19.91,54.38,91.55,78.12,13.87,NA,NA,NA,NA,NA,NA
69,"2019-11-13","Blight HC","UniqueMap",2,2,2,1,3,1,8,1.45,1,1.95,3,13,35,9.99,25,5,1.6,18.87,54.38,91.66,101.02,13.42,NA,NA,NA,NA,NA,NA
70,"2019-11-14","Blight HC","UniqueMap",2,2,2,1,3,1,7.38,1.46,1,1.83,3,11.97,35,9.91,0,5,1,20,55.53,91.35,100.29167,14.66,NA,NA,NA,NA,NA,NA
71,"2019-11-15","Blight HC","UniqueMap",2,2,2,1,3,1.31,7.34,1.46,1,1.78,3,10.98,35,9.96,0,5.53,1.58,20,55.53,90.62143,85.13167,18.31889,NA,NA,NA,NA,NA,NA
72,"2019-11-16","Blight HC","UniqueMap",1.94,2,2,1,3,1.32,6.36,1.5,1,1.78,3,14,34.93,9.98,34,5.53,2,20,55.53,90.25,84.59167,14.79,NA,NA,NA,NA,NA,NA
73,"2019-11-17","Blight HC","UniqueMap",2,2,2,1,3,1.69,8.17,1.74,1,1.25,3,13,34.82,9.8,34,6,1.49,20,56.29,90.52,329.92,16.41,NA,NA,NA,NA,NA,NA
74,"2019-11-18","Blight HC","UniqueMap",1.86,2,2,1,3,1.81,7.78,1.44,1,0.89,3,11.11,32.95,9.82,34,5.12,1.5,20,62.25,137.88,327.84,13.6,NA,NA,NA,NA,NA,NA
75,"2019-11-19","Blight HC","UniqueMap",1.88,2,2,1,3,1,9.22,1,1,1.54,3,11,32.47,9.92,34.11,5.98,1,19.73,61.94,161.435,251.04,12.63,NA,NA,NA,NA,NA,NA
76,"2019-11-20","Blight HC","UniqueMap",2,2,2,1.22,3,1,7.25,1,1,0.91,3,11,32.47,10,34.11,6,1,19.73,63.41,161.82,253.67,11.41,NA,NA,NA,NA,NA,NA
77,"2019-11-21","Blight HC","UniqueMap",2,2,2,1.33,3,1.04,7.28,1,1,0.91,3.47,10.29,32.55,10,34,6.11,1.71,19.06,72.89,166.52,258.11,8.82,NA,NA,NA,NA,NA,NA
78,"2019-11-22","Blight HC","UniqueMap",2,2,2,1.43,3,1.04,10.64,1,1,0.92,3.3,10.1,32.55,10,34,6.11,1.8,19.06,62.23,164.68,255.25,8.86,NA,NA,NA,NA,NA,NA
79,"2019-11-23","Blight HC","UniqueMap",2,2,2,2,3.65,1.17,10.96,1,1,1.44,3.2,10.11,32.37,10,33.2,6.37,1.8,18.54,53.86,165.62,257,8.86,NA,NA,NA,NA,NA,NA
80,"2019-11-24","Blight HC","UniqueMap",1.92,2,2,2,4.48,1.28,10.09192,1,1,1.74,4,13.13,32.07,10,34.11,6.05,1.84,17.66,53.57,162.36,251.94,11.71,NA,NA,NA,NA,NA,NA
81,"2019-11-25","Blight HC","UniqueMap",1.72,2.63,2,1.8,4.38,2,11.83,1.92,1.71,1.74,4,12.49,32.1,10,35.74,6.77,1.71,24.22,59.14,159.8,247.97,12.17,NA,NA,NA,NA,NA,NA
82,"2019-11-26","Blight HC","UniqueMap",1.59,2.26,2.74,1.96,3.84538,2,11.83,1.92,1.54,1.73,3.83,10.83,33.77,8.83,35.74,7,1.81,24.22,63.96,160.74,128.9475,18.29,NA,NA,NA,NA,NA,NA
83,"2019-11-27","Blight HC","UniqueMap",1.59,3.42,2.74,2,2.86,2,11.44,2,1.54,1.33,3.75,10.99,34.17,8.52,35.74,8.51,2,28.12,63.96,160.215,112.31333,18.29,NA,NA,NA,NA,NA,NA
84,"2019-11-28","Blight HC","UniqueMap",1.53,3.65,2.01,2,2.25,2,11.44,2,1.44,1.64,3.75,10.91,33.29,8.22,35.74,8.51,2,31.035,64.52,155.98,109.35,14.39,NA,NA,NA,NA,NA,NA
85,"2019-11-29","Blight HC","UniqueMap",1.53,1.82,2.01,2,2.21,2,11.44,2,1.44,1.53,4.35,10.91,33.86,8.22,35.74,7.02,2,15,64.52,151.655,106.285,14.39,NA,NA,NA,NA,NA,NA
86,"2019-11-30","Blight HC","UniqueMap",1.54,1.65,2.01,2,3.73,1.94,10,2,2.62,1.45,5.26,11,33.86,9.38,35.74,7,2,15,64.52,153.2,107.69667,17.32,NA,NA,NA,NA,NA,NA
87,"2019-12-01","Blight HC","UniqueMap",1.51,1.85,2.15,2,4.58,1.16,10,2,2.29,1.56,4,11.19,24.77,10.27,36.5,6.59,2,11.8,65.08,155.92,109.3,14.82,NA,NA,NA,NA,NA,NA
88,"2019-12-02","Blight HC","UniqueMap",1.51,1.85,1.74,2,4.55,1.16,10,2,4.59,1.73,4,11.2,30.21,9.38,36.5,4.18,2,11.66091,64.61,154.3,108.17,15.39,NA,NA,NA,NA,NA,NA
89,"2019-12-03","Blight HC","UniqueMap",1.51,1.85,1.73,2,4.57,2,10,2,3.39,1.64,4.34,12,30.21,25.86,36.5,8.75,2,13.88,64.05,155.28,108.64333,19.74,NA,NA,NA,NA,NA,NA
90,"2019-12-04","Blight HC","UniqueMap",1.42,1.62,1.7,2,4.55,2,10,2,3.39,1.61,4,10.84,30.21,19.1,36.5,8.75,2,13.91,58.222,155.42,78.93,19.74,NA,NA,NA,NA,NA,NA
91,"2019-12-05","Blight HC","UniqueMap",1.33,1.32,1.58,2,4.15,1,10,1.99,1.21,1.5,4,12.45,30.21,19.36,30,6.86,1.96,19.92,58.49,158.23,79.12,16.51,NA,NA,NA,NA,NA,NA
92,"2019-12-06","Blight HC","UniqueMap",1.31,1,1.67933,2,1.7,1,8.74,1.48,1.59,1.03,4,12.58,30.32,19.36,0,7.03,1,15.76563,58.49,161.16,80.06,15.69,NA,NA,NA,NA,NA,NA
93,"2019-12-07","Blight HC","UniqueMap",1.54,1,2,1.91,1.63,1,8.58,1.48,1.59,1,4,12.77,30.58,55,0,6.58,1,15.77,58.49,0,79.89,15.69,NA,NA,NA,NA,NA,NA
94,"2019-12-08","Blight HC","UniqueMap",1.91,1,1.83,1.91,1.7,1,8.23,1.43,3.6,1,4,12.77,30.83,55,0,5.99,1,15.76,60,0,79.3,16.39,NA,NA,NA,NA,NA,NA
95,"2019-12-09","Blight HC","UniqueMap",1.91,1,1.74,1.91,1.61,1,8.23,1.4,3.6,1,3.92,11.39,28.8,0,0,5,1,15.0875,60,0,79.66,16.11,NA,NA,NA,NA,NA,NA
1,"2016-12-02","Breach HC","UniqueMap",0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,"2016-12-03","Breach HC","UniqueMap",0,0,0,0,0,0,10,0,0,NA,0,0,0,NA,0,5,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,"2016-12-04","Breach HC","UniqueMap",7.95238,0,13,0,0,0,9.03333,7.05769,10.09524,NA,7.95238,21,30,NA,0,6.33,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,"2016-12-05","Breach HC","UniqueMap",7.73661,8,11.71429,9.94775,5.19143,7.055,6.74679,9.08333,7.77911,NA,9.01518,13.13786,22.86089,NA,0,5.52482,10.34661,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,"2016-12-06","Breach HC","UniqueMap",6.92179,7.49911,9.16589,8.25429,7.34893,5.67571,9.11929,6.66667,5.41143,NA,9.42232,7.70375,16.51268,NA,77.93939,5.69679,4.79911,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,"2016-12-07","Breach HC","UniqueMap",6.93286,4.66875,7.85107,3.99804,5.73696,6.62482,9.66661,19.2425,6.86929,NA,12.12179,6.00464,14.97482,NA,72,6.08964,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,"2016-12-08","Breach HC","UniqueMap",5.8375,4.96107,7.53321,2.22018,4.56089,5.85625,7.30232,14.83643,6.14071,NA,16.28071,5.60661,12.79321,NA,100,6.15411,3.30357,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,"2016-12-09","Breach HC","UniqueMap",4.99446,5.01089,6.59321,1.27589,3.72125,4.51982,8.64839,13.42393,4.48839,NA,15.75,5.11679,13.30518,NA,70,5.43571,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,"2016-12-10","Breach HC","UniqueMap",4.45891,4.92164,6.35727,1,2.99455,4.00855,7.02036,10.25636,4.47291,NA,14.73273,4.99855,16.22964,NA,54.68745,5.86745,2.77909,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,"2016-12-11","Breach HC","UniqueMap",4.01818,5.21109,5.61273,1,3,4.07255,6.20636,11.33036,4.40527,NA,13.99273,7.28909,19.51709,NA,46.14455,5.29382,2.07091,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,"2016-12-12","Breach HC","UniqueMap",4,5.77945,4.97073,1,3.77345,4,5.35709,10.54145,4.00145,NA,12.88091,7.47782,18.83364,NA,45.868,5.05018,2.48745,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,"2016-12-13","Breach HC","UniqueMap",3.71054,5.93625,4.55446,1,3.69839,3.9825,5.47554,10.88857,3.98393,NA,11.18196,6.31196,23.30071,NA,45.02518,5.04946,2.23857,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
13,"2016-12-14","Breach HC","UniqueMap",3.11375,6.74393,4.57018,1,3.81339,3.96268,6.85464,12.36625,3.79429,NA,11.50786,4.97304,23.63,NA,43.00643,5.35018,2.07786,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
14,"2016-12-15","Breach HC","UniqueMap",3.12804,6.98714,4.86375,1,3.08,3.82446,6.09286,12.45821,3.15714,NA,10.73393,4.91161,24.0475,NA,38.89107,6.00821,2.06643,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
15,"2016-12-16","Breach HC","UniqueMap",3.08564,4.03255,5.58655,1,3,3.996,5.99836,12.82473,3.14145,NA,12.96745,4.756,25.10164,NA,34.15491,5.35982,2.20582,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
16,"2016-12-17","Breach HC","UniqueMap",4,5.98145,4.16691,1,3.23291,3.76891,5.96182,11.97582,2.97636,NA,12.66491,4.69418,24.52782,NA,38.69709,5.02618,2.13691,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
17,"2016-12-18","Breach HC","UniqueMap",3.80964,7.00518,4.01982,1,3.00482,3.64,5.98232,11.77625,3.60232,NA,10.45214,4.89589,23.85464,NA,45.47214,4.94196,2,NA,NA,2756.21379,NA,NA,NA,NA,NA,NA,NA,NA
18,"2016-12-19","Breach HC","UniqueMap",3.13857,6.96,4,0.99464,3.03964,3,5.44232,10.28625,2.92625,NA,10.34268,4.26964,25.25696,NA,49.48232,4.86482,1.98661,NA,NA,2757.4,NA,NA,NA,NA,NA,NA,NA,NA
19,"2016-12-20","Breach HC","UniqueMap",3.00893,6.66482,3.73964,1,3.86071,2.99732,5.81018,9.02821,3,NA,8.92304,4.13018,26.11214,NA,56.16857,4.50232,1.99232,NA,NA,2761.4,NA,NA,NA,NA,NA,NA,NA,NA
20,"2016-12-21","Breach HC","UniqueMap",2.95304,6.85411,3.99714,0.99929,3.88554,2.94839,5.91321,8.97304,2.59536,NA,8.07911,4,22.54518,NA,60,4.35982,1.99179,NA,NA,2760.8,NA,NA,NA,NA,NA,NA,NA,NA
21,"2016-12-22","Breach HC","UniqueMap",2.58673,6.87891,3.01873,0.99473,3.77309,2.46818,4.98927,9.06436,2.44618,NA,9.87527,3.82909,24.60473,NA,60,4.29545,1.92455,NA,NA,2733.36,NA,NA,NA,NA,NA,NA,NA,NA
22,"2016-12-23","Breach HC","UniqueMap",2.64218,6.00309,2.98873,0.96964,3.07982,2.56455,5.21345,9.60091,2.56055,NA,9.12782,3.946,26.97509,NA,0,4,1.98855,NA,NA,2092.42473,NA,NA,NA,NA,NA,NA,NA,NA
23,"2016-12-24","Breach HC","UniqueMap",3,6.34796,2.98389,0.92704,3.08259,2.89926,5.68259,8.015,2,NA,9,3.82167,26.6513,NA,60,4,2,NA,NA,2774.41111,NA,NA,NA,NA,NA,NA,NA,NA
24,"2016-12-25","Breach HC","UniqueMap",3,6.59345,3,0.91673,3.05855,2.27582,5.976,8.17764,2.01691,NA,9.06055,3.85545,27.76309,NA,0,4.24964,2,NA,NA,783.33818,NA,NA,NA,NA,NA,NA,NA,NA
25,"2016-12-26","Breach HC","UniqueMap",3,6.99127,2.99873,0.88709,3.00109,2,5.52909,8.20745,2,NA,8.91273,3.86436,29.06455,NA,70,4.17691,2,NA,NA,870.60036,NA,NA,NA,NA,NA,NA,NA,NA
26,"2016-12-27","Breach HC","UniqueMap",3,7.82891,3,0.80218,3.03182,2.07909,5.31455,8.40327,2.00309,NA,7.82945,3.93018,29.822,NA,70,4.82818,2,NA,NA,2730,NA,NA,NA,NA,NA,NA,NA,NA
27,"2016-12-28","Breach HC","UniqueMap",2.86873,7.98255,2.812,0.99309,3.84564,2,5.56,8.02836,2.014,NA,7.61909,3.56364,29.58836,NA,60.72727,4.61036,2,NA,NA,918.42764,NA,NA,NA,NA,NA,NA,NA,NA
28,"2016-12-29","Breach HC","UniqueMap",2.47109,7.586,2.15455,0.87,3.78855,2,5.34527,7.89564,1.99891,NA,7.09909,3,31.38418,NA,59.66667,4.12636,2,NA,NA,2733.18182,NA,NA,NA,NA,NA,NA,NA,NA
29,"2016-12-30","Breach HC","UniqueMap",2.16327,7.21364,2.49527,0.92582,3.99327,1.99109,5.9,7.57291,2,NA,6.09091,2.60873,31.99455,NA,0,3.92727,1.99709,NA,NA,710.01945,NA,NA,NA,NA,NA,NA,NA,NA
30,"2016-12-31","Breach HC","UniqueMap",2.59709,7,2.99691,0.95691,3.90109,2,5.86236,7.91436,1.99964,NA,6.24745,2.99836,30.82018,NA,0,4,2,NA,NA,322.33309,NA,NA,NA,NA,NA,NA,NA,NA
31,"2017-01-01","Breach HC","UniqueMap",2.99964,6.76161,2.87232,0.82071,3.54893,2,5.77625,7.89982,2,NA,6.27893,2.64589,31.08232,NA,0,3.99589,2,NA,NA,272.93411,NA,NA,NA,NA,NA,NA,NA,NA
32,"2017-01-02","Breach HC","UniqueMap",2.6125,5.68464,2.3525,0.88018,3.59143,2,5.97286,7.72982,2,NA,6.10571,2.91375,27.67,NA,0,3.73714,2,NA,NA,210.21536,NA,NA,NA,NA,NA,NA,NA,NA
33,"2017-01-03","Breach HC","UniqueMap",2.36982,5.52625,2.37304,0.88625,3.06304,2,5.82643,7.635,1.99964,NA,6.22911,3,28.31875,NA,60,3.98893,2,NA,NA,172.88696,NA,NA,NA,NA,NA,NA,NA,NA
34,"2017-01-04","Breach HC","UniqueMap",2,4.99782,2.07455,0.90745,2.95073,2.16873,4.95182,7.74891,2,NA,6.03927,2.99891,27.93618,NA,0,3.98109,1.99982,NA,NA,167.27691,NA,NA,NA,NA,NA,NA,NA,NA
35,"2017-01-05","Breach HC","UniqueMap",2,5,2,0.75482,2.70464,2.37357,5.03161,7.01107,2,NA,6.40857,2.99911,27.82821,NA,90,3.99929,1.93804,NA,NA,150.19018,NA,NA,NA,NA,NA,NA,NA,NA
36,"2017-01-06","Breach HC","UniqueMap",2.54218,5,2.17364,0.81436,2.99236,2.27109,4.91782,7.20782,2,NA,6.83036,2.97582,26.01327,NA,90,4,1.98964,NA,NA,154.80091,NA,NA,NA,NA,NA,NA,NA,NA
37,"2017-01-07","Breach HC","UniqueMap",2.06873,5,2.00745,0.78927,2.87145,2,4.11109,6.52273,1.99964,NA,7.24145,2.46127,27.23618,NA,90,4,1.99091,NA,NA,147.50527,NA,NA,NA,NA,NA,NA,NA,NA
38,"2017-01-08","Breach HC","UniqueMap",2.08491,5,2,0.90127,3,2,4.592,7.15673,2,NA,6.77218,3,26.37945,NA,90,3.99436,1.98909,NA,NA,143.43727,NA,NA,NA,NA,NA,NA,NA,NA
39,"2017-01-09","Breach HC","UniqueMap",1.99618,4.72509,1.99691,0.93691,2.98655,2,4.88982,7.86127,2,NA,6.71236,2.92073,29.91673,NA,90,3.99018,1.98655,NA,NA,136.78636,NA,NA,NA,NA,NA,NA,NA,NA
40,"2017-01-10","Breach HC","UniqueMap",2,4.70273,2,0.99,3,2,4.76818,6.834,2,NA,7.006,2.99909,30,NA,90,3.99745,1.98818,NA,NA,125.94255,NA,NA,NA,NA,NA,NA,NA,NA
41,"2017-01-11","Breach HC","UniqueMap",2,4.112,1.99855,0.98018,2.83364,2,4.15764,6.51364,1.966,NA,6.53255,2.99036,31.35182,NA,90.49582,3.97364,1.94236,NA,NA,114.23182,NA,NA,NA,NA,NA,NA,NA,NA
42,"2017-01-12","Breach HC","UniqueMap",2,3.99836,2,0.99291,2.91255,2,4.21382,6.73491,2,NA,6.95945,2.94455,34.87782,NA,91.37218,3.97564,1.99091,NA,NA,98.61764,NA,NA,NA,NA,NA,NA,NA,NA
43,"2017-01-13","Breach HC","UniqueMap",1.99527,4.54982,2,0.99855,3,2,4.02036,6.34018,1.996,NA,6.99527,3,34.33818,NA,92.28891,3.98818,1.99218,NA,NA,97.64291,NA,NA,NA,NA,NA,NA,NA,NA
44,"2017-01-14","Breach HC","UniqueMap",2,4.86291,2,0.89073,2.99255,2,4.34564,6.26218,1.99727,NA,6.92818,3,33.40164,NA,91.95327,3.77309,1.80055,NA,NA,97.49309,NA,NA,NA,NA,NA,NA,NA,NA
45,"2017-01-15","Breach HC","UniqueMap",2,4.23545,1.998,0.82764,2.93582,1.99182,4.92164,6.70327,1.99909,NA,6.74018,3,33.03091,NA,88.70873,3.83218,1.87018,NA,NA,98.80018,NA,NA,NA,NA,NA,NA,NA,NA
46,"2017-01-16","Breach HC","UniqueMap",2,4.36582,1.96145,0.96327,2.99473,1.95509,5,6.00345,1.99018,NA,6.00145,2.97127,29.93273,NA,87.44673,4,1.87255,NA,NA,88.552,NA,NA,NA,NA,NA,NA,NA,NA
47,"2017-01-17","Breach HC","UniqueMap",2,4.98218,1.88327,0.93236,3,1.87364,4.73527,5.91182,1.99455,NA,6.11891,2.97873,28.70127,NA,76.09036,4,1.78091,NA,NA,86.13891,NA,NA,NA,NA,NA,NA,NA,NA
48,"2017-01-18","Breach HC","UniqueMap",2,4.846,1.784,0.82327,2.78891,1.83164,4.87891,5,1.99455,NA,5.68509,2.52764,28.79618,NA,85.67782,3.99055,1.33473,NA,NA,85.98218,NA,NA,NA,NA,NA,NA,NA,NA
49,"2017-01-19","Breach HC","UniqueMap",1.99554,4.69714,1.68804,0.84839,2.72214,1.62,4.80804,5,1.99946,NA,5.16357,2.61304,27.99482,NA,85.19393,3.715,1.63161,NA,NA,89.40464,NA,NA,NA,NA,NA,NA,NA,NA
50,"2017-01-20","Breach HC","UniqueMap",1.99618,4.99327,1.644,0.86364,2.99691,1.92927,4.67909,4.99618,2,NA,5.45527,2.00255,28.00618,NA,84.61236,3.89382,1.15527,NA,NA,405.51309,NA,NA,NA,NA,NA,NA,NA,NA
51,"2017-01-21","Breach HC","UniqueMap",1.99833,4.9937,1.57722,0.76611,2.83685,1.98407,4.86167,5,1.99296,NA,5.87981,2,27.72093,NA,80.54111,3.95519,1.48944,NA,NA,299.23833,NA,NA,NA,NA,NA,NA,NA,NA
52,"2017-01-22","Breach HC","UniqueMap",1.99981,5,1.38774,0.70868,2.73585,1.91208,4.41698,4.97774,1.98019,NA,5.36585,2,27.77321,NA,80.33925,3.42472,0.99981,NA,NA,129.47509,NA,NA,NA,NA,NA,NA,NA,NA
53,"2017-01-23","Breach HC","UniqueMap",2,4.99852,1.28148,0.80852,3,1.65315,3.83778,5.13722,1.99963,NA,4.6663,2,27.40759,NA,79.12481,4,1.06833,NA,NA,142.62,NA,NA,NA,NA,NA,NA,NA,NA
54,"2017-01-24","Breach HC","UniqueMap",2,5,1.21732,0.81143,3,1.57821,3.80946,5,1.99982,NA,4.88321,2,28.66554,NA,77.16946,3.39125,1.06625,NA,NA,123.59554,NA,NA,NA,NA,NA,NA,NA,NA
55,"2017-01-25","Breach HC","UniqueMap",2,5,1.15167,0.81611,2.71852,1.80963,4.76741,4.94222,2,NA,4.9937,2,28.21685,NA,70.64926,3.85296,1.00759,NA,NA,121.16278,NA,NA,NA,NA,NA,NA,NA,NA
