"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
19,"2019-09-24","Blight","Currency",0.66667,0.0625,0.05788,0.04758,220,4,4,7,3,0.4,0.08864,19,186,1,0.14286,0.11765,1.5,2.4,22495.65773,2,0.41667,0.14286,23,0.0476,0.14286,0.46154,0.44444,0.53677,0.03175,0.03442,0.47619,0.01087,0.18182,0.55556,37,2,0.58729,9,13,1084.6,0.41246,0.5,0.01818,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2019-09-25","Blight","Currency",0.66667,0.05689,0.05774,0.04369,210,4,3.23045,5.15894,3,0.4316,0.08696,20,185,1,0.13269,0.11765,1.5,2.44883,24928.87726,2,0.40741,0.16667,23,0.04343,0.14411,0.46154,0.43979,0.55556,0.0303,0.03519,0.42857,0.01018,0.18151,0.55241,43,1.5,0.5266,9,13,1198.09709,0.35938,0.5,0.016,3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2019-09-26","Blight","Currency",0.66667,0.05882,0.05405,0.05,190,3.6207,3,6,3,0.42857,0.0889,20,185.70397,1,0.13264,0.11765,1.5,2.45,24552,2,0.3936,0.17333,23,0.05565,0.15385,0.47619,0.44444,0.55556,0.03348,0.03864,0.41597,0.01094,0.18182,0.57012,48,2,0.5,9,13,1209,0.36049,0.49012,0.01667,3,28.32828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2019-09-27","Blight","Currency",0.66372,0.06238,0.05545,0.04348,180,3,3,5,3,0.45455,0.09091,20,188,1,0.125,0.11701,1.5,2.5,24592.19259,2,0.37575,0.16667,23,0.05469,0.16667,0.47128,0.44444,0.55556,0.03333,0.04,0.36364,0.01111,0.2,0.5668,49,1.35927,0.5,9,13,1245.58341,0.33333,0.485,0.01616,3.64422,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2019-09-28","Blight","Currency",0.66667,0.06125,0.05556,0.04158,170,4,3,5,3,0.46667,0.09524,20,189,1,0.125,0.11458,1.5,2.5,24948,2,0.36842,0.16333,23,0.05293,0.16667,0.46508,0.44444,0.58378,0.04034,0.04,0.35556,0.01129,0.20532,0.56375,45.00383,1.33333,0.5,9,13,1228.5,0.33333,0.5,0.01538,3.5,28.72289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2019-09-29","Blight","Currency",0.66667,0.05875,0.05556,0.04167,179.70687,4,3,5,3,0.49142,0.09257,20,189.56603,1,0.12514,0.11111,1.5,2.5,25270,3,0.35181,0.16129,23,0.04878,0.16667,0.44444,0.44444,0.599,0.04115,0.03822,0.3394,0.01111,0.20942,0.56988,42,1.33333,0.5,9,13,1235,0.33333,0.4947,0.01507,4,29.2818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2019-09-30","Blight","Currency",0.65991,0.05979,0.05556,0.04,190,4,3,5,3,0.48326,0.09656,21,190.39423,1,0.125,0.11111,1.5,2.53253,25403,2,0.33333,0.15927,23,0.05196,0.16667,0.44223,0.44444,0.6,0.04167,0.04167,0.34318,0.01111,0.22222,0.56243,43,1.87815,0.5,9,12.38194,1241.5,0.32,0.44456,0.015,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2019-10-01","Blight","Currency",0.65366,0.06034,0.05313,0.03904,190,4,3,5,3,0.47619,0.095,21.71203,195,0.98,0.12144,0.10967,1.5,2.5,27284.11095,3,0.32258,0.15432,23,0.04854,0.16667,0.43478,0.44033,0.5891,0.04167,0.04344,0.3474,0.0125,0.22222,0.55,45,1.33333,0.5,9.5,13,1361.44871,0.30407,0.42064,0.01497,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2019-10-02","Blight","Currency",0.64516,0.05882,0.05538,0.04762,181.00997,4,3,5,3,0.47625,0.10526,22,194,0.95727,0.13718,0.1087,1.5,2.90037,27789.8494,2.20903,0.31764,0.16573,23,0.05475,0.16429,0.43333,0.43904,0.58824,0.04277,0.04167,0.34674,0.0125,0.23279,0.54956,48,1.5,0.5,9.8483,12,1365,0.32288,0.42276,0.015,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2019-10-03","Blight","Currency",0.64047,0.0625,0.05555,0.04416,180,4,3,5,3,0.49976,0.11472,23,194,0.9514,0.1111,0.10638,1.59667,2.86284,29242.03655,3,0.3081,0.16667,23,0.0496,0.16129,0.42857,0.44444,0.60093,0.04167,0.04167,0.33948,0.01246,0.23887,0.55556,50,1.5,0.5,9.5,13,1560.598,0.33333,0.40959,0.01494,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2019-10-04","Blight","Currency",0.6326,0.06148,0.05555,0.04194,173.79347,4,3,5,3,0.5,0.11855,24,195.70731,0.94553,0.11805,0.10511,1.5,3,28275,2.68468,0.30584,0.17241,23,0.04981,0.16058,0.42792,0.44634,0.60414,0.04167,0.04167,0.32475,0.01225,0.26094,0.55556,50,1.4731,0.5,10,13,1568,0.30719,0.4,0.014,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2019-10-05","Blight","Currency",0.64286,0.06151,0.05549,0.04371,170,4,3,5,3,0.53211,0.11905,24.52605,195,0.95005,0.11438,0.10361,1.54535,3,28130,2.993,0.3147,0.17523,23,0.04989,0.15385,0.42308,0.45,0.59513,0.04216,0.04167,0.32398,0.01235,0.29392,0.55556,52.42491,1.43712,0.49339,10,13,1462.5,0.32093,0.36666,0.014,4,24.96084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2019-10-06","Blight","Currency",0.6383,0.06035,0.05546,0.04722,147.82096,4,3,4.81545,3,0.54545,0.12269,25,194,0.97179,0.11008,0.10309,1.5,3,27685.27584,2.33648,0.32258,0.18158,23,0.04949,0.15385,0.42105,0.44808,0.6078,0.04348,0.04167,0.33333,0.01242,0.29429,0.62033,52,1.5,0.49166,10,13,1455,0.32973,0.35714,0.01266,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2019-10-07","Blight","Currency",0.63333,0.05882,0.05543,0.04191,125,4,2.90476,4,3,0.54545,0.12006,25,195,0.95,0.12206,0.10345,1.69304,3,28751.775,2.80213,0.31818,0.18105,23,0.0481,0.15385,0.42456,0.44179,0.60606,0.04167,0.044,0.33333,0.0125,0.29412,0.59732,55,1.48357,0.47619,10,13,1462.5,0.3166,0.34685,0.01144,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2019-10-08","Blight","Currency",0.64282,0.05882,0.05556,0.0456,119,4,3,4,3,0.54545,0.1188,25,196,0.95238,0.11516,0.10417,1.88756,3,28644.75457,2.0348,0.31759,0.18072,23,0.04762,0.15385,0.42105,0.44444,0.6039,0.04167,0.04342,0.33333,0.0125,0.29412,0.61366,55,1.42594,0.45,9.92315,13.43899,1470,0.32043,0.34088,0.01105,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2019-10-09","Blight","Currency",0.63658,0.06111,0.05556,0.04286,100,4,3,3.30928,2.73232,0.55137,0.11905,25,196,0.975,0.11446,0.10403,1.94441,3,28420,2,0.30769,0.18779,23,0.04762,0.15385,0.42553,0.43478,0.59698,0.04167,0.04512,0.33333,0.01476,0.29412,0.63206,52.9799,1.5,0.45849,9.5,14,1462.5,0.3,0.34031,0.01107,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2019-10-10","Blight","Currency",0.6401,0.06137,0.0579,0.04347,100,4,3,3,2,0.58824,0.12048,25,196.64933,0.9731,0.12015,0.10417,1.9895,3,28762,2,0.30303,0.19231,23,0.04762,0.15385,0.42857,0.44444,0.60227,0.04167,0.04762,0.33333,0.01567,0.29412,0.63707,53,1.5,0.4811,10,14,1474.88599,0.28571,0.35,0.01261,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2019-10-11","Blight","Currency",0.64286,0.06224,0.05864,0.04258,105,4,2,3.3587,2,0.58824,0.11628,25,197,0.975,0.08333,0.10432,2,3,30563.3403,2,0.3,0.19231,23,0.04762,0.15385,0.42855,0.43818,0.60437,0.04167,0.04537,0.33333,0.01653,0.29412,0.63636,54,1.5,0.45455,9.5,13.89,1477.5,0.26087,0.33333,0.01338,4,23.20309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2019-10-12","Blight","Currency",0.64286,0.05882,0.05642,0.04204,100,3.2236,2.5,4,3,0.58824,0.11067,25,200,0.9659,0.08694,0.10417,1.99648,3,31912.27778,2,0.28571,0.18797,23,0.04545,0.15385,0.41667,0.43576,0.59436,0.04007,0.04362,0.31386,0.01521,0.29412,0.62043,54,1.84096,0.46154,10,14,1565.2,0.30446,0.3604,0.01333,4.13417,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2019-10-13","Blight","Currency",0.64286,0.05972,0.05882,0.04,94.85455,3,2,4,3,0.58824,0.11302,25,202.02558,0.975,0.08333,0.10309,1.98664,3,35322,2,0.26786,0.17857,23,0.04545,0.15975,0.41322,0.44444,0.59524,0.03918,0.04337,0.3,0.01538,0.29412,0.62745,53,1.90831,0.45813,10,14,1616,0.30728,0.34581,0.0137,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2019-10-14","Blight","Currency",0.64286,0.0618,0.05882,0.03333,95,3,2.925,4,3,0.58491,0.11111,26,205,0.975,0.08314,0.10204,1.9,3,35492.926,3,0.25956,0.1754,23,0.04329,0.15625,0.39641,0.43979,0.58561,0.04,0.04167,0.29412,0.01538,0.29412,0.625,54.0013,1.33333,0.44334,10,14,1714.21,0.33333,0.35265,0.01369,4.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2019-10-15","Blight","Currency",0.64286,0.06213,0.06061,0.0397,90,3,3,4,3,0.58509,0.11598,26.67824,205,0.99747,0.1,0.09756,1.99337,3,36178.90398,2.17032,0.25689,0.17409,23,0.04545,0.15716,0.39216,0.44833,0.58753,0.03956,0.04646,0.29868,0.01625,0.29412,0.62632,55,1.33333,0.48423,10,14,1836,0.33202,0.36364,0.01374,4.5,21.82433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2019-10-16","Blight","Currency",0.66667,0.06221,0.05882,0.04334,89.29618,3,2,4,2,0.58537,0.11765,27,205,1,0.08333,0.09734,1.99,3,39662.79697,2,0.25621,0.17763,23,0.04545,0.15715,0.3871,0.45455,0.58824,0.04,0.04889,0.3,0.01466,0.29864,0.62963,55,1.5,0.47619,10,14,1845,0.30894,0.3585,0.01389,4.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2019-10-17","Blight","Currency",0.77308,0.05993,0.06006,0.04248,88,3,2.26,4,2,0.58824,0.12016,27,202,1,0.105,0.1005,2,3,39794,2.38099,0.25339,0.19231,23,0.04348,0.15385,0.41667,0.45455,0.64966,0.03846,0.04917,0.29571,0.01468,0.30531,0.64516,56,1.40351,0.47385,10,14,1822.5,0.3,0.35403,0.01379,4.51168,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2019-10-18","Blight","Currency",0.83333,0.05882,0.05882,0.0462,76.36597,3,2,4,2,0.58824,0.11905,27,200,1,0.09813,0.1005,1.9995,3,39382.11227,2,0.25253,0.2,23,0.04545,0.15385,0.42735,0.45455,0.66429,0.03626,0.04638,0.29237,0.0147,0.3125,0.73031,56,1.62099,0.49492,10,14,1800,0.28241,0.34668,0.01333,5,23.52108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2019-10-19","Blight","Currency",0.83333,0.05882,0.05876,0.04387,70,3,2,4,2,0.61934,0.11876,27,193,1,0.09828,0.10135,1.9929,3,37959.05228,3,0.24891,0.19881,23,0.04545,0.15385,0.41667,0.4878,0.66626,0.03571,0.05,0.29412,0.01462,0.32258,0.75,55,1.46098,0.49754,10,14,1801.92,0.25344,0.35,0.01333,4.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2019-10-20","Blight","Currency",0.83333,0.05882,0.05818,0.04545,68.48997,2.79049,2.6928,4,2,0.625,0.11949,27,190,1,0.1073,0.10135,1.9,2.84668,37249.12146,3,0.2439,0.19608,22.34018,0.04545,0.15385,0.41429,0.48366,0.66667,0.03333,0.046,0.28987,0.01471,0.33085,0.75,52,1.30837,0.37239,9.76717,14,1805,0.22594,0.33333,0.01389,4.50025,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2019-10-21","Blight","Currency",0.9,0.05882,0.05882,0.04545,64.77022,3,3,4,2,0.62505,0.12346,27,185,1,0.10963,0.10101,1.90909,2.7607,36445,3,0.24393,0.19802,22,0.04699,0.15385,0.41667,0.49632,0.66667,0.03503,0.04348,0.2881,0.01429,0.33321,0.8937,50,1.33333,0.43093,9,14,1850,0.20999,0.35,0.01387,4.31604,24.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2019-10-22","Blight","Currency",0.90909,0.05852,0.05882,0.04762,64.24514,3,3,4,2,0.65789,0.14351,27,172,1,0.12327,0.10168,1.75929,2.65406,33894.14821,2,0.2439,0.2,22,0.04754,0.15625,0.41494,0.5,0.66667,0.03571,0.04273,0.28571,0.01441,0.33246,0.90909,46.00126,1.67861,0.47514,9,13,1720,0.2,0.37038,0.01408,4.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2019-10-23","Blight","Currency",0.90909,0.058,0.05918,0.05394,65,3,3,4,2,0.65487,0.14567,27,174,1,0.13889,0.1,1.5,2.5,34452,2,0.23529,0.20514,22,0.04762,0.15385,0.41322,0.49792,0.66667,0.03581,0.04247,0.28517,0.015,0.33333,0.92308,45.89433,1.5,0.5,9,14,1740,0.25,0.35714,0.01386,4.5,26.54765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2019-10-24","Blight","Currency",0.93327,0.05807,0.05614,0.05987,60,3,3,3.42308,2,0.65574,0.16506,26,176.60774,1.05307,0.14286,0.1,1.5,2.5,34686.76789,2,0.23529,0.21369,21,0.048,0.15694,0.41667,0.52632,0.72242,0.03834,0.04274,0.28374,0.01429,0.33333,0.9424,46,1.47126,0.5,9,14,1763.13558,0.25,0.35714,0.0138,4.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2019-10-25","Blight","Currency",0.93119,0.05711,0.05721,0.06441,60,2.42632,2.62857,3,2,0.65789,0.17855,26,175,1.1,0.14286,0.10417,1.5,2.5,34245.14708,2.8,0.23256,0.22222,21,0.04988,0.15819,0.43478,0.63047,0.71412,0.03737,0.04167,0.27778,0.01389,0.33333,0.99697,47,1.5,0.5,8.80483,15,1750,0.28929,0.37037,0.01417,4.79594,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2019-10-26","Blight","Currency",0.99608,0.05811,0.05827,0.07085,55,2,2,3,2,0.64935,0.16667,25.13851,176.62693,1.1,0.13889,0.10417,1.5,2.5,34508.01859,2,0.22857,0.21613,21,0.05,0.15998,0.42857,0.65888,0.7101,0.03333,0.04167,0.27624,0.01329,0.32777,1,47,1.5,0.47619,9,15,1767.39455,0.25623,0.37037,0.01368,4.5,27.78142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2019-10-27","Blight","Currency",1,0.05838,0.05566,0.06667,54.35803,3,2,3,2,0.64935,0.1665,23,178,1.02773,0.13889,0.10309,1.5,2.3,34508.50007,2,0.23077,0.21634,21,0.05,0.15625,0.42457,0.661,0.68667,0.03333,0.04,0.27617,0.01248,0.32971,1,46,1.5,0.47619,9,15,1765.93743,0.25,0.37037,0.01298,4.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2019-10-28","Blight","Currency",1,0.05837,0.05556,0.06348,56.39241,3,2,3.72237,2,0.63313,0.1625,22,178,1,0.13889,0.10204,1.5,2.01677,34532,2,0.227,0.2,21,0.04762,0.15385,0.41853,0.65844,0.65919,0.03374,0.04,0.27533,0.0119,0.33034,1,47.98434,1.5,0.47619,9,14,1691,0.25,0.3697,0.01333,4.66441,27.00005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2019-10-29","Blight","Currency",1,0.05835,0.05556,0.0625,58,3,2,4,2,0.6,0.14706,22,181.98985,1,0.13889,0.10018,1.5,2,35090.62923,2,0.22105,0.18692,21,0.04762,0.14706,0.41336,0.625,0.6,0.03546,0.04,0.27273,0.0125,0.32083,1,50,1.27876,0.47619,9,14,1728.98038,0.25,0.37004,0.01333,4.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2019-10-30","Blight","Currency",1,0.05783,0.05556,0.06667,60,3,2,4,2,0.6,0.14706,22.60928,181,1,0.13889,0.10077,1.5695,2.32722,35114,2,0.21584,0.18307,21,0.04762,0.14461,0.41667,0.625,0.59675,0.03556,0.04,0.27273,0.0125,0.33274,1,51.35582,1.24524,0.47619,9,15,1719.5,0.25,0.37037,0.01338,4.5,26.92553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2019-10-31","Blight","Currency",1,0.05676,0.05556,0.07692,60,3,2,4,2.75758,0.60888,0.16464,23,178,1,0.13931,0.1021,1.66667,2.38962,34710,2,0.21739,0.19798,21.13356,0.04762,0.14286,0.42532,0.65854,0.59411,0.03333,0.04,0.27273,0.01341,0.33177,1.05,52,1.5,0.47619,9,14,1691.03998,0.25,0.37037,0.01392,4.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2019-11-01","Blight","Currency",1,0.05557,0.05556,0.06667,60,3,2,4,3,0.62,0.15085,23,178,1,0.14129,0.10526,1.66667,2.37804,36172.23909,2,0.21723,0.19854,21,0.04762,0.14286,0.43155,0.66667,0.58824,0.03333,0.04,0.27273,0.01328,0.32499,1,52,1.29648,0.47619,9,14,1691,0.24436,0.37527,0.01314,4.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2019-11-02","Blight","Currency",0.97412,0.05822,0.05556,0.06062,64,2.84,2,4,2.52041,0.59764,0.14159,24,180,0.98471,0.14286,0.10215,1.71043,2.43187,36007.29114,2.5,0.21622,0.18813,21,0.04762,0.14286,0.41433,0.65833,0.56187,0.03333,0.04138,0.27273,0.01428,0.32258,0.96927,53,1.5,0.47619,9,14.41502,1745.07609,0.23957,0.38462,0.01405,4.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2019-11-03","Blight","Currency",0.95238,0.05556,0.05556,0.05684,64,2,2,4.1454,2,0.57998,0.13333,23,181,0.98246,0.14286,0.09904,1.5,2.4,36585.20513,2,0.21227,0.17857,21,0.04762,0.14085,0.40368,0.65,0.53109,0.03333,0.0405,0.26854,0.01365,0.31207,0.97047,52,1.5,0.47619,9,14,1786.47,0.2439,0.37037,0.01404,4.95753,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2019-11-04","Blight","Currency",0.94948,0.05556,0.05533,0.05882,65,2,2,4,2,0.5814,0.13767,24,180.70794,0.98333,0.14286,0.09719,1.58583,2.39178,38137.84,2,0.20833,0.17647,21,0.04762,0.13514,0.40479,0.64286,0.52941,0.03333,0.04,0.27273,0.01244,0.31229,0.98,53,1.12518,0.47619,9,14,1810,0.23994,0.38462,0.01312,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2019-11-05","Blight","Currency",0.9469,0.05556,0.05556,0.05882,60,2,2,4,2,0.56742,0.14081,25,179,0.99915,0.14286,0.09799,1.66667,2.37213,38306,2,0.20696,0.17857,21,0.04746,0.13452,0.40207,0.60354,0.52941,0.03333,0.04167,0.26907,0.01312,0.3125,0.95,52.48519,1,0.47619,9,14,1828.1494,0.2,0.37736,0.01203,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2019-11-06","Blight","Currency",0.97961,0.05556,0.05556,0.05882,64.36413,2,2,4,2,0.56818,0.14,26,173.00105,1,0.14222,0.09883,1.6667,2.3,37466.93703,2,0.2037,0.17857,21,0.04718,0.13333,0.41527,0.62513,0.55,0.03333,0.04167,0.26943,0.0129,0.31968,1,50,1,0.47619,9,15,1798.18867,0.2,0.37037,0.0125,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2019-11-07","Blight","Currency",0.98947,0.05556,0.05556,0.05882,64.92517,2,2,4,2,0.57235,0.14286,26,167,1,0.1441,0.1,1.62473,2.37793,38253.25097,2,0.20617,0.19658,21,0.04762,0.13514,0.43478,0.66667,0.57692,0.03333,0.04,0.27183,0.01192,0.3125,1,50,1,0.47619,9,15,1826,0.2,0.37037,0.0125,4.86009,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2019-11-08","Blight","Currency",0.97724,0.05556,0.05544,0.05882,64.26457,2,2,4,2,0.58333,0.14286,27,165,1.03686,0.14723,0.10476,1.69783,2.3,38922.51,2,0.20693,0.19722,21.06055,0.04762,0.13514,0.44965,0.76923,0.58333,0.03333,0.04,0.27273,0.01302,0.32261,1,48.76522,1,0.47619,8.00026,15,1844.1662,0.21572,0.37278,0.01,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2019-11-09","Blight","Currency",0.99421,0.05556,0.05263,0.05556,64.369,2,2,4,2,0.58824,0.14286,27,164,1,0.14286,0.1048,1.66667,2.40898,38967.66466,2,0.2076,0.20224,22,0.04762,0.13333,0.4495,0.80257,0.61445,0.03333,0.04,0.27697,0.0133,0.33032,1,48,1,0.47619,8.02062,15,1808.51837,0.2,0.38462,0.01,4.85615,21.42047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2019-11-10","Blight","Currency",0.99364,0.05556,0.05,0.0587,65,2,2,4,2,0.58824,0.14663,25.4553,158,1.1,0.14286,0.10706,1.56806,2.43695,37762,2,0.20833,0.20833,21.20466,0.04762,0.13333,0.47236,0.88434,0.67025,0.03333,0.04,0.2784,0.013,0.33153,1.05575,45,1,0.47619,8,14,1896,0.21388,0.3907,0.01,4.51136,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2019-11-11","Blight","Currency",0.93677,0.05556,0.05,0.05882,65,2,2,4,2,0.59963,0.14599,25,157,1.1,0.14286,0.10753,1.58913,2.16508,37680,2,0.20833,0.20609,22,0.04762,0.13699,0.47215,0.83333,0.62843,0.03333,0.04,0.2826,0.01333,0.33333,1.06974,42,1,0.47619,8,14,1884,0.21712,0.38462,0.01,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2019-11-12","Blight","Currency",0.96369,0.05556,0.04695,0.061,60,2,2,3,2,0.6,0.14699,25,157,1.1,0.14747,0.10881,1.5,2,38936,2,0.20882,0.20619,22,0.04762,0.13699,0.47619,0.84352,0.67105,0.03333,0.0375,0.28421,0.01356,0.33083,1.1,41.19338,1,0.47619,8,14,1957.96359,0.19803,0.38462,0.01,4.295,20.30333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
