"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
21,"2019-03-28","Synthesis HC","Scarab",10,8.93,10,24.98,19.09,8,12,8.49,4,3,35,2.4,7.06,6.86,6,10,10.31,5,7,6,5,1,30,2,4,3.64,2.65,8,6,3,4.47,5.0931,2,1,24.38,1,NA,NA,NA
22,"2019-03-29","Synthesis HC","Scarab",10,8.97,10,20,15.35,10,10.66,8,3.96,3,37,3,8,6.07,6,11.54,10,5,7,6,5,1,31.37,2,4,3.51,2.55,8,6,3,4.01,5,2,1,26.27,1,NA,NA,NA
23,"2019-03-30","Synthesis HC","Scarab",10.44,10,10.69,20,15.72,10,10.47,8,3.98,3,36,3,8,6,6,11.73,10.49,5,7,6,4.86,1,32.23,1.97,4,3.57154,2.89,7,5.72,3,4,4,2,1,27.44,1,NA,NA,NA
24,"2019-03-31","Synthesis HC","Scarab",10,10,11,19.48,16.05,8,10,7,3.04,3,35,3,8,6,5.35,9.91,10,5,7.08,5,5,1,33.12,2,4,3.06333,3,7,5.44,2,4,3.66,2,1,26.63,1,NA,NA,NA
25,"2019-04-01","Synthesis HC","Scarab",9.48,9.56,11,18.34,18,8.56,10,6,2.83,3,36,3,8,6,5.1919,9.49,10,5,7.21692,5,5,1,33,1.15,4,4,3,7,5.37,1.37,5,3.71,1,1,26.88,1,NA,NA,NA
26,"2019-04-02","Synthesis HC","Scarab",9.6,9.58,11,18.63,15,8.26,10,5.30758,2.08333,3,39.51,3,8,6,6,9.86,10,5,7.22,4,5,1,32.51,2,4,4,3,7,6,1.75,5,3,1,1,28.58,1,NA,NA,NA
27,"2019-04-03","Synthesis HC","Scarab",10,9,11,18.72,15,7.32,9.81,5,2,3,40,2.13,7.74,6,5.13,10.02,9.94,5,8,4,5,1,34,1.94,4,4,3,7,6,2,4.49,3,1,1,29.83,1,NA,NA,NA
28,"2019-04-04","Synthesis HC","Scarab",11.47,8,11.54,16.11,15,7.28,9.01,5,2.09,3.02,40,2.24,7.59,6,5,9.69,9.27,5,8.68,3.28,5,1,34.41,1.87,4,4,3,7,6,2,4.18,3,1,1,33.47,0.96,NA,NA,NA
29,"2019-04-05","Synthesis HC","Scarab",11.53,8,10,15.91,14.85,8.34,8.92,5,2.09,3.06,40,2,7.59,5.71,5,9.38,9,4.74,8.68,3,5,1,34.62,1.98,4,3,2.77,7,6,2,4,2,1,1.05,33.79,0.96,NA,NA,NA
30,"2019-04-06","Synthesis HC","Scarab",11.42,8,10,17.63,15,8.59,11.62,5,2,3,40,2.27,8,6,6,10,9,4.57,8,3,5,1,35,2,4,3,3,7,5.09,2,4,2,1,1,34,1,NA,NA,NA
31,"2019-04-07","Synthesis HC","Scarab",11.9275,8.23896,10,19,15,8,10.71,5,2.38,3,40,2.27,8,6,5.3,10.33,9,4,8,3,5,1,35,1.13,4,3,2.78,7,5,2,4,2,1,1,29,1,NA,NA,NA
32,"2019-04-08","Synthesis HC","Scarab",10.88,8,9,19,15,8,10.14,5,2.27,3.58,39.82,3,8,5,5,10.43,8.98,4,8,3,5,1,34,1.24,4,3,2.44,7,5,2,4,2,1,1.02,26,1,NA,NA,NA
33,"2019-04-09","Synthesis HC","Scarab",12,8,9,17.31,14.69,8,12.78,4.37,2.08,3,39,3,8,5,5,12,9,4,8,3,5,1,32.1,1.36,3.25,3,2.73,6,5,2,4,2,1,1.05,27.73,1,NA,NA,NA
34,"2019-04-10","Synthesis HC","Scarab",10,8,8,17.32,14.61,8,13,4,2,3,38.62,3,8,5,5,12,9,4,8,3,5,1,31,1.27,4,3,3,6,4,1.78,3.69,2,1,1.23,26,1,NA,NA,NA
35,"2019-04-11","Synthesis HC","Scarab",10,9,8,17,12.11,8.12,11.71,5,2,3,38,3,8,5,5,8.24,7.29,4.18,8,3,5,1,30,1.18,3.41,3,3,6,4,1.36,4,2,1,1.04,25,1,NA,NA,NA
36,"2019-04-12","Synthesis HC","Scarab",10,9,8,15.92,12,8,10,5,2,3,37,3,8,5,5,4.88,6.58,4.22,8,3,4.04,1,30,1,3.29,3,3,6,4,1.96766,4,2,2,1.14,25,1,NA,NA,NA
37,"2019-04-13","Synthesis HC","Scarab",10,9.6,8,15.92,12,7.9,10,5,2,3,35,2.62,8,6,5,4.76,6.58,5,8,3,4.16,1,30,1.03,3.32,3,3,6,4,1.92591,4,2,2,2,23.64219,1,NA,NA,NA
38,"2019-04-14","Synthesis HC","Scarab",10,9.71,8.52,15.88,12,6,10,5,2,3,35,2.62,7.95,5.95,5,7.6875,6.5,5,8,3,4,1,27.88,1,3,3,3,6,4,2,4,2,2,1.87,22,1,NA,NA,NA
39,"2019-04-15","Synthesis HC","Scarab",10,10,8.54,16.91,12,8,11.75,5,2,3,35,2.85,7.12,6,5,9.75,8.42,5,8,3,3.96,1,27,1,3.9,3,3,6,4,1.21346,4,2,2,1.8,22,1,NA,NA,NA
40,"2019-04-16","Synthesis HC","Scarab",10,9.46,8.24,17.47488,12,8,11.56,5,2,3,35,3.01,8,5.89,5,8.9,8.15,4.81,8,3,4,1,26.77,1,4.72,3,3,5,3.61,1,4,2,2,1.75,22,1,NA,NA,NA
41,"2019-04-17","Synthesis HC","Scarab",8.45,9.37,8.15,17.36,12,8,11.56,4,2.52,3,35.05237,3.01,8,6,5,8.53,8.1,4.63,8.21,3,4,1,28,1,4.72,3,3,5,3,1.13,5,2,2,2,21.84865,1,NA,NA,NA
42,"2019-04-18","Synthesis HC","Scarab",10,9,8,17.58,12,8.5,11.56,4,2.63,3,35.26,3.01,8,6,5,12.29,8.1,4.33,8.21,3,4,1,30,1,4.9,3,3,5,3,1.05,5,2,2,2,22.65,1,NA,NA,NA
43,"2019-04-19","Synthesis HC","Scarab",10,9,8,18,12,9,11.56,4,5.75,3,35.92,2.97,8.4,6,5,12.76,8.22,4.33,8.11,3,3.08,1.6,30,1,5,3,3,5,3,1.72,5,2,2,1.55,22.33,1,NA,NA,NA
44,"2019-04-20","Synthesis HC","Scarab",10,9,8,18,12,8.55,11.56,4,5.75,3,35.92,3.62,8.09,6,5,12.76,8.34,5,8.11,3,3.78,1,30,1,4.84,3,3,5,3,1.04,5,2,2,1.55,23.7994,1,NA,NA,NA
45,"2019-04-21","Synthesis HC","Scarab",10,8.62,8.13,18,12.04,6.93,13.89,4,5.99,3,35.12,3.62,8.81,6,5,13.39,8.34,6,7.2,3,3.8,1,30,2,3.94,3,3,5,3,1,5,2,1.25,1.51,22.42103,1,NA,NA,NA
46,"2019-04-22","Synthesis HC","Scarab",10,7,8.64,18,12,6.53,13.89,4,5.99,3,35,3.54,9,6.23,5,14.6,8.15,6,7,3,3.8,1,30,2,4.09,3,3,6,3,1,5,2,1.22,1,21.71,1,NA,NA,NA
47,"2019-04-23","Synthesis HC","Scarab",10,7,8.79,18,12,6.75,13.89,4,5.99,3,35,4,8.42,6.15,5,13.39,8.15,6,7,3,3.52,1,30,2,5,3,3,5.14,3,1,5,2,1.87,1,21.95,1,NA,NA,NA
48,"2019-04-24","Synthesis HC","Scarab",11.15,7,9,18,12,6.78,14.08333,4.22,5.99,3,35.28,4,9,6.12,5,12.87,9.36,6,7,3,3.52,1,30,2,5,3,3,5,3,1,5,2,1.07857,1,22.15,1,NA,NA,NA
49,"2019-04-25","Synthesis HC","Scarab",10.43,7,9,17.99,12.46,5.9,14.07,4.3,9.05,3,35,4,8.91,6,5,12.87,8.27,6,7,3,3,1,30,2,5,3,3,5,3,1,5,2,1,1,21.57,1,NA,NA,NA
50,"2019-04-26","Synthesis HC","Scarab",10.43,7,9,18,12.28,5.81,15,4,9.07,3,35.3,4,8.72,6.54,5,20,9.92,6,7,3.28,3,1,27.71,2,5,3,3,5,3,1,5,2,1,1,21,1.16,NA,NA,NA
51,"2019-04-27","Synthesis HC","Scarab",10.88,7,9,20,12.17,5.92,12.62,4,9.07,3,41.05,4,9.08,6.54,5,20,9.92,6,9.4,3,3,1,29.38,2,5,3,3,5,3,1,5,2,1,1,21,1.16,NA,NA,NA
52,"2019-04-28","Synthesis HC","Scarab",10.77,7,9.00308,20,12.42,5.92,13.04,4,8,3,44.7,4,7.68,5.53,5,20,9.92,4.79,9.4,3,3,1,29.3,2,5,2.35,3.24,5.86,3,1,5,2,1,1,21.79,1.16,NA,NA,NA
53,"2019-04-29","Synthesis HC","Scarab",13.02,7,9.08,20,12.29,5.92,13.49,4,8,3,47.47,4,11.46,5.53,5.14,20,10.08,4.48,7.87,3,3.41,1,40,2,5,2.35,3.36,5.86,3,1,5,2,1,1,27.77,1.16,NA,NA,NA
54,"2019-04-30","Synthesis HC","Scarab",10,7,9.08,20,12.02,5.85,13.49,4,6.75,3,50,4,10,5.45,5,20,10.89,4.48,7.87,3,3.31,1,52.19,2,5,2.31827,3.96,5.89,3,1,5.67,2,1,1,40,1.16,NA,NA,NA
55,"2019-05-01","Synthesis HC","Scarab",9.85,7,8.98,20,14.83,5.71,16.23,4,6.75,3,50,7.26,10,5.47,5,20,11.08,4.48,7.87,3,3.31,1,41.25,2,5,2.06,4,6,3,1,5,2,1,1,33.64,1.16,NA,NA,NA
56,"2019-05-02","Synthesis HC","Scarab",8.76,7,9,21.13,13.04,5.77,16.23,4,6.47,3,56.56,7.26,10,3.31,5,20,9.81,4.48,8.31,3,3.31,1,40.36,2,5,2.9,4,6,2.73,1,5,2,1,1,27.02,2,NA,NA,NA
57,"2019-05-03","Synthesis HC","Scarab",8.76,7,9.35,21.71,12,5.79,16.23,4,6.18,3,60,7.26,10,3.31,5,17.95,8.41,4.48,7.87,3,3.31,1,44.7025,2,5,3,4,6.74,2.54,1,5,2,1,1,30.02,2,NA,NA,NA
58,"2019-05-04","Synthesis HC","Scarab",8.15,7,9.35,25.48,12,7.98,15.52,4,6.18,3,60,7.26,10,3.31,5,13.72,8.23,4.48,7.87,3,3.31,1,44.96,2,5.33,3,4,8.21,2.58,1,5.16,2,1,1,30,2,NA,NA,NA
59,"2019-05-05","Synthesis HC","Scarab",8.81,7,10.87,25.83,12,9,15.52,4,5.6,3,60,7.26,10,3.45,5,15.59,8.26,4.2,7.87,3,3.22,1,38.39,2.22,5.33,2.22,4,8.26,2.57,1.09,6.93,2,1.64,1,30,2,NA,NA,NA
60,"2019-05-06","Synthesis HC","Scarab",9.48,5.83,10.87,25.83,14,9,15.53,4,5.6,3,60,19,10,3.49,5,15.5,8,3.62,12.8,3,3.22,1,38.48,3,5.33,2.04,4,8.26,2.79,1.92,6.77,1.91,1.54,2,30,2,NA,NA,NA
61,"2019-05-07","Synthesis HC","Scarab",9.48,5.83,13.11,25.75,13.52,9.42,15.55,4,5.6,3,60,19,10,3.49,5,15,8,3.62,12.8,3,3.22,1,37.77,3,5.33,2.04,4,8.12,2.23,0.91,6.77,1.87,1.56,2.62,32.04,2.1,NA,NA,NA
62,"2019-05-08","Synthesis HC","Scarab",8.36,8.62,11.34,25,13.52,9.32,15.55,3.14,5.6,3,59.62,19,10,3.41,5,15,7,3.62,12.8,3,3.22,1,35,3,5.33,2,4,9,1.52,0.74,6.59,1.77,2.33,2.66,31.99,2.1,NA,NA,NA
63,"2019-05-09","Synthesis HC","Scarab",8.36,8.28,10.56,25,10.98,9.32,15.55,3,5.3,3.19,55,19,10,3.3,5,15,7,3.62,12.8,3,3.22,1,34.64,3,5,2.8,4,9,1.52,0.84,6.4,1.77,2.33,5,30,0,NA,NA,NA
64,"2019-05-10","Synthesis HC","Scarab",7.15,8.28,12.8,24.17,10.79,9.32,15.55,3,5.3,4,50,19,10,3.3,5,15,6.91,3.62,12.8,3,4,1,34.39,3,5,2.7,4,9,1.41,0.75,6.22,1.58,3.22,5,25,0,NA,NA,NA
65,"2019-05-11","Synthesis HC","Scarab",7.15,9.97,12.8,23.66,11.59,10,15.55,3,5.3,4,50,0,10.4,3.21,5,15,6.46,3.62,0,3,4,1,34.39,3,5,2.41,4.31,8.77,1.31,0.76,5.84,1.48,5,5,25,0,NA,NA,NA
66,"2019-05-12","Synthesis HC","Scarab",7.15,9.41,12.8,26.19,11.59,10,16.65,3,5,3.9,50,0,10.4,3.13,5,15,6.57,3.62,0,3,4,1,34.39,3,5,2.41,4.31,8.22,1.31,1.29,5.65,1.83,5,5,25,0,NA,NA,NA
67,"2019-05-13","Synthesis HC","Scarab",7.15,8.85,12.61,26.19,11.59,10,16.88,3.09,5,3.63,50,0,10,2.44,5,15,6.38,0,0,3,0,1,33.77,3,2.2,2.89,4.42,8.42,1.22,0.92,5.65,1.83,3.2,1.4,25,0,NA,NA,NA
68,"2019-05-14","Synthesis HC","Scarab",22.59,8.85,12.61,26.19,11.59,10,16.88,3,5,3.63,50,0,10,2.43,5,15,6.35,0,0,3,0,1,33.77,3,2.2,2.6,4.42,8.24,1.22,0.92,5.65,1.83,3,1,25,0,NA,NA,NA
69,"2019-05-15","Synthesis HC","Scarab",22.59,8.28,12.61,26.5,11.59,10,16.88,2.9,0,3.63,50,0,10,2.22,5,15,6.16,0,0,3.54,0,1,34.11,3,2.6,2.6,4.44,8.26,2.2,4.79,7,1.73,3,2,25,0,NA,NA,NA
70,"2019-05-16","Synthesis HC","Scarab",68.2,7.22,13.61,20.99,10.8,10.44,16.88,2.9,0,3.54,50,0,10,4,5,15,6.01,0,0,3.54,0,1,34.11,3,2.6,2.6,4.44,8.07,2.2,4.79,7,1.73,3,2,25,0,NA,NA,NA
71,"2019-05-17","Synthesis HC","Scarab",68.2,7.22,12,20.5,10.8,14,16.88,2.72,0,4,50,0,10,4,5,15,5.7,0,0,4,0,1,34.11,0,2.62,2.3,8,9,2.2,3.34,7,1.63,3,2,25,0,NA,NA,NA
72,"2019-05-18","Synthesis HC","Scarab",68.2,6.98,12,20.5,10.8,14,21.64,3.4,0,4,50,0,10,4,5,15,5.7,0,0,4.3,0,1,33.53,0,2.21,2,8,9,2.2,3.33,7,1.43,3,2.33,25,0,NA,NA,NA
73,"2019-05-19","Synthesis HC","Scarab",68,14.52,12,20.5,10,14,21.64,3.42,0,4,50,0,0,4.33,5,15,5.7,0,0,4.22,0,1,33.24,0,2.21,2,8,9,2.2,3.34,7,2.1,3,2.33,23.3,0,NA,NA,NA
74,"2019-05-20","Synthesis HC","Scarab",0,21,12,20.5,10,14,35,11.1,0,4,50,0,0,7,5,15,5.75,0,0,12.88,0,1.84,33.24,0,2.21,0,8,9,2,3.34,0,2.1,3,2.33,23.3,0,NA,NA,NA
75,"2019-05-21","Synthesis HC","Scarab",0,21,12,20.5,14.36,14,35,13.2,0,4,50,0,0,0,5,15,5.83,0,0,12.86,0,1.84,32.94,0,2.21,25,8,9,2,15,0,2,5,2.33,25,0,NA,NA,NA
76,"2019-05-22","Synthesis HC","Scarab",0,20,0,20,14.36,14,35,52.75,0,4,50,0,0,0,0,0,7.1,0,0,77.51,0,1.84,34.75,0,2.21,25,8,9.11,0,15,0,2,5,2.33,25,0,NA,NA,NA
77,"2019-05-23","Synthesis HC","Scarab",0,20,0,20,50,14,35,55.69,0,0,50,0,0,0,0,0,0,0,0,77.51,0,12.07,75,0,2.11,25,8,9.11,0,15,0,2,5,2.33,25,0,NA,NA,NA
78,"2019-05-24","Synthesis HC","Scarab",0,20,25,20,50,14,35,55.74,0,0,51.1,0,0,0,0,0,0,0,0,77.74,0,29,75,0,3,25,8,9.11,0,15,0,2,5,5,25,0,NA,NA,NA
79,"2019-05-25","Synthesis HC","Scarab",0,20,25,20,50,14,35,19.2,0,0,57.72,0,0,0,0,0,0,0,0,11.4,0,29,75.33,0,3,25,8,9.11,0,0,0,0,5,5,0,0,NA,NA,NA
80,"2019-05-26","Synthesis HC","Scarab",0,20,25,20,50,14,35,14.76,0,0,57.72,0,0,0,0,0,0,0,0,11.35,0,29,75.27,0,3,25,8,9.11,0,0,0,0,5,5,50,0,NA,NA,NA
81,"2019-05-27","Synthesis HC","Scarab",0,20,25,20,50,14,35,14.76,0,0,57.72,0,0,0,0,0,0,0,0,11.48,0,29,75.42,0,3,25,8,9.11,0,0,0,0,5,5,50,0,NA,NA,NA
82,"2019-05-28","Synthesis HC","Scarab",20,20,25,20,50,14,35,14.76,0,0,57.72,0,0,0,0,0,0,0,0,11.48,0,29,75.42,0,3,25,8,9.11,0,0,0,0,5,5,50,0,NA,NA,NA
83,"2019-05-29","Synthesis HC","Scarab",20,22.18,25,20,50,0,35,14.76,0,0,57.72,0,0,0,0,0,0,0,0,11.85,0,29,82.54,0,3,25,0,10,0,0,0,0,5,5,41,0,NA,NA,NA
84,"2019-05-30","Synthesis HC","Scarab",20,22.18,25,20,50,0,0,14.76,0,0,83.52,0,0,0,0,0,0,0,0,11.95,0,29,83.52,0,3,25,0,10,0,0,0,0,5,5,41,0,NA,NA,NA
85,"2019-05-31","Synthesis HC","Scarab",20,40,25,0,15.8,0,0,14.76,0,0,81.49,0,0,0,0,0,8,0,0,11.76,0,29,81.56,0,3,25,0,10,0,2,0,0,5,5,41,0,NA,NA,NA
86,"2019-06-01","Synthesis HC","Scarab",20,40,25,0,15.8,0,0,14.76,0,0,44.22,0,0,0,0,0,8,0,0,11.82,0,29,82.24,0,3,25,0,10,0,2,0,0,5,3,41,0,NA,NA,NA
87,"2019-06-02","Synthesis HC","Scarab",20,40,25,0,15.8,0,0,10.4,0,0,44.9975,0,0,0,0,0,8,0,0,4,0,3.55,89.62,0,0,25,0,10,0,2,0,0,5,3,41,0,NA,NA,NA
88,"2019-06-03","Synthesis HC","Scarab",20,40,25,0,15.8,0,0,10.4,0,0,50.85,0,0,0,0,0,8,0,0,4,0,15,91.39,0,0,25,0,10,0,0.78,0,0,5,3,46.54,0,NA,NA,NA
89,"2019-06-04","Synthesis HC","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
